date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),reward,activeAddresses,medianTxValue(USD)
2016/5/14,3074.732278,4,1958578,1,61320,0,,
2016/5/15,164492.739,26,1951591,1,219450,0,,
2016/5/16,1017157.869,16,1951591,1,567230,0,,
2016/5/17,136225.456,27,1951591,1,178706,0,,
2016/5/18,192796.064,71,1951591,1,229307,0,,
2016/5/19,251927.7157,56,1951591,1,329926,0,,
2016/5/20,210854.088,112,1951591,1,261677,0,,
2016/5/21,112925.9239,121,1951591,1,167338,0,,
2016/5/22,8204.120209,42,1951591,1,104196,0,,
2016/5/23,293813.8314,89,1951591,1,190548,0,,
2016/5/24,214697.9013,56,1951630,1,153609,0,,
2016/5/25,154644.1479,45,1951591,1,209870,0,,
2016/5/26,5704808.616,60,1951591,1,5707670,0,,
2016/5/27,509396.7247,164,1951591,1,707718,0,,
2016/5/28,317450.2687,292,1951591,1,613257,0,,
2016/5/29,1775536.407,292,1951591,1,705697,0,,
2016/5/30,606096.233,198,1951591,1,422532,0,,
2016/5/31,189224.6768,198,1951591,1,2580270,0,,
2016/6/1,1270324.174,256,2951591,1,1030660,1000000,,
2016/6/2,203375.4182,119,2951591,1,223416,0,,
2016/6/3,5068283.234,197,2951591,1,2459760,0,,
2016/6/4,110700.3883,73,2951591,1,438311,0,,
2016/6/5,237055.9273,52,2951591,1,139775,0,,
2016/6/6,725021.3642,98,2951591,1,792495,0,,
2016/6/7,107273.9318,107,2951591,1,295779,0,,
2016/6/8,44319.91045,57,2951591,1,155586,0,,
2016/6/9,1760383.226,105,2951591,1,149115,0,,
2016/6/10,203204.5614,63,2951591,1,206234,0,,
2016/6/11,32012.4303,57,2951591,1,134797,0,,
2016/6/12,369994.6155,325,2951591,1,1030810,0,,
2016/6/13,1479682.387,368,2951591,1,1673420,0,,
2016/6/14,2514520.605,456,5951591,1,2479570,3000000,,
2016/6/15,3424905.6,455,5951591,1,1738970,0,,
2016/6/16,2013100.146,456,5951590.952,1,3547690,0,,
2016/6/17,1824369.875,400,5951585,0.999999,6105470,0,,
2016/6/18,1265316.613,294,5951585,0.999999,3759450,0,,
2016/6/19,438635.7222,163,5951585,0.999999,1377470,0,,
2016/6/20,2653353.15,152,5951585.048,0.999999,2855850,0,,
2016/6/21,2892958.399,307,5951591,1,3652970,0,,
2016/6/22,1668924.084,220,5951591,1,3966370,0,,
2016/6/23,799543.2942,273,5951591,1,2838010,0,,
2016/6/24,1875199.589,207,5951651,1,3067830,0,,
2016/6/25,160153.4813,136,5951651,1,1223680,0,,
2016/6/26,364879.1953,109,5951651,1,798039,0,,
2016/6/27,149436.0778,97,5951590.628,1,576205,0,,
2016/6/28,1515107.7,153,5951311.275,0.999953,2242170,0,,
2016/6/29,456169.5705,83,5951591,1,808151,0,,
2016/6/30,858885.456,100,5951591,1,1322550,0,,
2016/7/1,716453.4643,95,5951591,1,985150,0,,
2016/7/2,162157.959,48,5951591,1,561867,0,,
2016/7/3,613570.0685,65,5951591,1,1161670,0,,
2016/7/4,845933.2913,186,5951591,1,1703670,0,,
2016/7/5,742477.1635,135,5951591,1,1405480,0,,
2016/7/6,289360.3004,76,5951591,1,567909,0,,
