date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,medianTxValue(USD),medianFee,averageDifficulty,paymentCount,blockSize,blockCount
2018-10-04,20872464.31945131,41841,1168707211.2217195,11.13,132819000.0,24429.75,15.082053438887616,19335,10.573500000000001,2.541e-05,214448200081968.62,34504,8485188,6094
2018-10-05,19809458.93896814,41242,1161267048.0,11.05,147212000.0,24155.5,13.929247864608161,18886,8.933461701125001,2.31e-05,213192684664579.88,34142,8366155,6026
2018-10-06,13453479.203376802,42347,1160957984.2261906,11.05,146455000.0,24528.25,13.910122414616726,19011,8.89277635805,2.31e-05,209042735348889.22,34956,8563880,6121
2018-10-07,11412764.609944757,42762,1149680633.4972475,10.94,152882000.0,24662.75,14.68551845258321,18959,8.201191985586384,2.31e-05,208209845843747.9,34580,8659203,6154
2018-10-08,21570404.370636035,44831,1148558628.1534247,10.92,159584000.0,24352.0,15.53655705908617,20420,10.9100909736,9.3836e-05,211887567475728.66,37307,8793520,6077
2018-10-09,12989682.715095697,52721,1154983392.9917355,10.98,157706000.0,24581.0,20.164060775600145,20473,3.7861965072000006,0.00042,211474971385023.8,45452,10294176,6132
2018-10-10,10149391.847294798,42900,1143053785.680517,10.87,175735000.0,24155.25,15.415895551989005,19639,8.899708093649998,3.43783e-05,209977754927418.6,35552,8646988,6026
2018-10-11,45314796.061981216,45787,1138575591.221374,10.82,255593000.0,24841.25,19.140727800616816,20285,10.818846125096195,0.00021,208982296788848.5,37866,9469784,6198
2018-10-12,26889805.118049543,43403,962163780.718816,9.14,195087000.0,24130.75,15.539874040560823,19849,9.136633189600001,9.3836e-05,207413896558468.03,35874,8676031,6021
2018-10-13,10751733.327493794,42655,995949342.8523207,9.46,114944000.0,24446.75,15.124436887565455,19117,9.4546616274,3.43783e-05,201828112201598.16,34795,8625388,6100
2018-10-14,11209366.569454385,42485,996792706.4930925,9.47,113477000.0,24552.75,14.558839909530857,18906,9.375300000000001,2.31e-05,204522935497905.78,34486,8557361,6128
2018-10-15,34263085.16470432,49980,990652250.8292434,9.41,243513000.0,24153.25,19.39183007616551,24107,9.299267354500001,0.00042,200779881449547.6,38532,9364857,6028
2018-10-16,9604300.942987146,46739,1032695710.1956747,9.8,110875000.0,24393.25,16.787867061325876,21155,8.716204672,0.000105,198983816471045.5,37653,9073503,6089
2018-10-17,19803549.58780124,57571,1025729360.4159021,9.74,156238000.0,24616.5,23.154283251360255,29951,4.871212937046137,0.00042,198447264136966.3,48765,10661785,6143
2018-10-18,10642093.74457144,43624,1035224715.3868614,9.82,135906000.0,24383.0,16.80919717008338,19378,7.5868482845,3.43783e-05,201855402642415.38,35778,8897582,6083
2018-10-19,22442319.04540478,43480,1010577061.8708334,9.59,131853999.99999999,24398.75,19.179296468140446,19440,7.005989573573881,3.43783e-05,200577596925283.6,34973,8997932,6088
2018-10-20,3958353.196261583,46402,1012953825.9690403,9.61,89769700.00000001,24348.0,231.80894994322634,19455,6.134333093854999,0.000188056,196958967845996.72,34763,9133562,6076
2018-10-21,4776835.102855791,44243,1019709739.5622406,9.67,123219000.0,24160.75,17.792781826732938,19127,6.007174253561908,9.3836e-05,195917501350650.88,34099,8873754,6029
2018-10-22,13732458.802524583,46512,1014481285.6619998,9.62,177641000.0,24710.5,24.30424227239061,20067,5.8013402271653325,0.000138831,198866150372608.4,36131,9092980,6165
2018-10-23,11674774.191779269,47869,1055881829.042857,10.01,149643000.0,24425.25,19.43834364621068,20832,7.071064,0.00020135,200242597391844.6,38669,9265287,6095
2018-10-24,23811797.568539318,43692,1032864397.696502,9.79,128266999.99999999,24405.5,16.87869341241347,19451,6.852435949149998,4.3525e-05,198872307826327.8,34880,8763512,6089
