date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses,medianTxValue(USD),medianFee
2016-03-26,144268.32856281588,569,11223302.506738545,0.001247,695940.0,22680.727858,75,0.01247,16.0
2016-03-27,81774.72019304938,673,13355540.715268226,0.001484,305038.0,20100.034062,77,0.01484,16.0
2016-03-28,47860.22757324816,580,13088561.022727273,0.001454,150393.0,12895.783141,51,0.01454,15.0
2016-03-29,54193.83316065231,594,13969912.17731421,0.001552,187162.0,13511.392624,57,0.015519999999999999,15.0
2016-03-30,50501.130679374175,560,13807018.551307848,0.001534,66153.0,11496.708061,47,0.01534,15.0
2016-03-31,32328.590636469668,607,13303067.719063545,0.001478,46908.0,11890.487019,110,0.01478,15.0
2016-04-01,32964.9350002999,562,13456278.81873727,0.001495,64361.0,11948.149169,46,0.01495,15.0
2016-04-02,26657.44435597159,570,13160553.18087318,0.001462,52104.0,11702.405858,54,0.01462,15.0
2016-04-03,31513.9036376002,214,12989291.823529411,0.001443,60244.00000000001,5762.092166,42,0.01443,15.0
2016-04-04,13196.100756481148,560,12277075.270072993,0.001364,38331.0,10738.081829,59,0.01364,15.0
2016-04-05,41250.25534038472,534,12338370.917698469,0.001371,38468.0,9550.18241,38,0.01371,15.0
2016-04-06,4279.405057182964,513,12354185.400440851,0.001373,17324.0,8558.977468,26,0.013730000000000001,15.0
2016-04-07,3578.4226368354693,517,12249454.00296516,0.001361,12999.0,8515.744814,32,0.01361,15.0
2016-04-08,7354.9484705364,526,12105170.613107825,0.001345,26063.0,8782.871221,32,0.01345,15.0
2016-04-09,22928.919059688444,525,12769462.415014163,0.001419,28257.0,9117.179966,38,0.01419,15.0
2016-04-10,33750.65092554597,885,12709724.657142857,0.001412,65615.0,16138.951633,84,0.01412,14.0
2016-04-11,13132.935277560002,37,12597148.148148147,0.0014,22648.0,2030.815738,32,117.9598767634,32.0
2016-04-12,22044.121556329334,62,13123888.05755396,0.001458,27811.0,3964.400401,35,152.03273471901002,62.1314985
2016-04-13,30060.50662649591,128,12510549.890109891,0.00139,55189.0,6188.875092,90,0.0466640375,14.0
2016-04-14,79458.051192616,192,12284533.18556048,0.001365,226419.0,11249.311459,104,41.84202749999999,22.0
2016-04-15,60315.804801906146,181,14213265.093555095,0.001579,116531.0,7776.477644,109,8.83903600366,14.0
2016-04-16,20776.315098258645,130,12987273.794799719,0.001443,60570.00000000001,4795.065438,98,0.007215,14.0
2016-04-17,35942.41665723929,127,12810073.68,0.001423,40530.0,5973.483913,92,0.001423,14.0
2016-04-18,29355.554212799263,153,13362254.942233635,0.001485,77865.0,6668.943482,98,2.00475,14.0
2016-04-19,22330.13362273824,309,14036186.666666666,0.00156,35119.0,7326.345394,102,0.0156,14.0
2016-04-20,39018.68817443163,571,14568168.961748634,0.001619,123362.0,13096.106425,47,0.01619,15.0
2016-04-21,50333.751034461806,612,14825253.020899303,0.001647,63276.00000000001,12014.032034,93,0.01647,15.0
2016-04-22,12876.85998767748,411,14217215.287428932,0.00158,27030.0,7884.048028,100,0.0158,14.0
2016-04-23,14881.395047755104,102,14244417.73125,0.001583,24123.0,2448.589734,100,0.0,14.0
2016-04-24,27593.387131134405,115,14401502.935420744,0.0016,30483.0,3295.139542,98,0.0,14.0
2016-04-25,43168.1523188289,446,13812269.76284585,0.001535,41019.0,9607.175754,102,0.015349999999999999,15.0
2016-04-26,15077.196630054828,601,13648096.76240209,0.001516,34249.0,11030.752863,105,0.01516,15.0
2016-04-27,41722.13031188018,625,13788921.99392097,0.001532,60837.0,13158.765064,105,0.01532,14.0
2016-04-28,30801.000995647923,522,14763692.307692306,0.00164,48880.0,12163.607445,106,0.016399999999999998,14.5
2016-04-29,4278.839766675552,83,14387149.265712507,0.001599,12164.0,1697.675556,84,0.0,14.0
2016-04-30,19093.972085648813,92,14455444.497189257,0.001606,20784.0,3060.13244,85,0.0,14.0
2016-05-01,68756.83847635234,119,14408102.801992528,0.001601,19104.0,3639.076041,108,0.0,14.0
2016-05-02,32822.96652362646,268,14452347.064803049,0.001606,17512.0,4917.28049,96,0.01606,14.0
2016-05-03,38865.756240001385,104,14162139.809885934,0.001574,31617.999999999996,3268.230322,96,0.0,14.0
2016-05-04,8023.748338017828,93,14206533.537459284,0.001578,12471.0,1761.549601,87,0.0,14.0
2016-05-05,29247.92554173844,105,13817970.0,0.001535,23235.0,2906.870213,93,0.0,14.0
2016-05-06,3539.346476549175,97,13817867.264150942,0.001535,15647.0,1908.198354,95,0.0,14.0
2016-05-07,21540.922269370185,129,14717083.204633204,0.001635,18165.0,3307.051796,108,0.0,14.0
2016-05-08,10779.92282637883,108,13996291.562294003,0.001555,34875.0,2754.598143,106,0.0,14.0
2016-05-09,14318.572032327953,101,13555562.155932203,0.001506,20281.0,2335.648014,95,0.0,14.0
2016-05-10,7010.695255253125,105,13273677.788844623,0.001475,13587.0,2536.765306,98,0.0,14.0
2016-05-11,1159.40876664033,107,13552232.855280312,0.001506,9375.0,1450.330193,89,0.0,14.0
2016-05-12,22236.043287944147,107,13803451.470401019,0.001534,35261.0,3165.141966,91,0.0,14.0
2016-05-13,13210.971554874108,105,14008338.747528018,0.001556,22258.0,2911.029344,97,0.0,14.0
2016-05-14,16177.787143802812,118,13657566.857142854,0.001517,19939.0,2484.864486,101,0.0,14.0
2016-05-15,3423.908842498865,91,12918514.285714287,0.001435,9596.0,2031.364321,93,0.0,14.0
2016-05-16,12889.13249942556,129,13228492.560321715,0.00147,29746.999999999996,3690.466037,108,0.0,14.0
2016-05-17,9528.548228649912,103,13422847.085324233,0.001491,24857.0,2591.986364,89,0.0,14.0
2016-05-18,12982.69819522162,103,13185639.16204986,0.001465,21163.0,3018.996737,92,0.0,14.0
2016-05-19,17439.622365819174,114,12996167.798579728,0.001444,66759.0,3181.687112,101,0.0,14.0
2016-05-20,91135.20753097406,244,13924171.40625,0.001547,184416.0,14671.527405,132,77.503202756161,35.0
2016-05-21,25119.69924010574,152,15203627.333333332,0.001689,59265.00000000001,5445.777073,123,0.0,14.0
2016-05-22,28391.3959344147,110,14583091.166077739,0.00162,41583.0,4432.005305,90,0.0,14.0
